Launch Date,Franchisee,Style Count,Gross Sales
15-Jul-07,AIR FORCE 1,88,15687548
15-Jul-07,AIR MAX 90,34,2972044
15-Jul-07,BLAZER,16,202756
15-Jul-07,CORTEZ,28,912624
15-Jul-07,HUARACHE,4,146600
15-Jul-07,TENNIS CLASSIC,16,619928
13-Jul-08,AIR FORCE 1,80,13067920
13-Jul-08,AIR MAX 1,10,50068
13-Jul-08,AIR MAX 90,50,2775460
13-Jul-08,BLAZER,32,370224
13-Jul-08,CORTEZ,56,1500200
13-Jul-08,TENNIS CLASSIC,24,707972
12-Jul-09,AIR FORCE 1,78,1750916
12-Jul-09,AIR MAX 1,8,64336
12-Jul-09,AIR MAX 90,64,1525880
12-Jul-09,BLAZER,12,50644
12-Jul-09,CORTEZ,36,506924
12-Jul-09,JANOSKI,8,13028
12-Jul-09,PEGASUS NSW,6,48232
12-Jul-09,TENNIS CLASSIC,16,222548
11-Jul-10,AIR FORCE 1,120,11710188
11-Jul-10,AIR MAX 1,8,157196
11-Jul-10,AIR MAX 90,90,4072248
11-Jul-10,AIR MAX COMMAND,44,2448612
11-Jul-10,BLAZER,66,2347204
11-Jul-10,CORTEZ,60,1618100
11-Jul-10,FREE RUN,29,2572189
11-Jul-10,JANOSKI,10,183600
11-Jul-10,PEGASUS NSW,8,110716
11-Jul-10,TENNIS CLASSIC,46,955252
10-Jul-11,AIR FORCE 1,110,12252204
10-Jul-11,AIR MAX 1,8,57896
10-Jul-11,AIR MAX 90,102,4461152
10-Jul-11,AIR MAX COMMAND,46,968364
10-Jul-11,BLAZER,86,2095492
10-Jul-11,CORTEZ,56,1608672
10-Jul-11,FREE RUN,35,1496262
10-Jul-11,HUARACHE,4,1812
10-Jul-11,JANOSKI,28,298540
10-Jul-11,PEGASUS,56,2524128
10-Jul-11,PEGASUS NSW,6,18564
10-Jul-11,TENNIS CLASSIC,52,393836
8-Jul-12,AIR FORCE 1,171,10636808
8-Jul-12,AIR MAX 1,28,193532
8-Jul-12,AIR MAX 90,80,3923480
8-Jul-12,AIR MAX COMMAND,30,1746952
8-Jul-12,BLAZER,141,5712952
8-Jul-12,CORTEZ,92,1502496
8-Jul-12,FREE RUN,155,13217784
8-Jul-12,HUARACHE,4,1440
8-Jul-12,JANOSKI,48,528068
8-Jul-12,PEGASUS,128,4672736
8-Jul-12,PEGASUS NSW,4,12000
8-Jul-12,ROSHE,30,655776
8-Jul-12,TENNIS CLASSIC,36,358544
7-Jul-13,AIR FORCE 1,451,9940760
7-Jul-13,AIR MAX 1,208,3186788
7-Jul-13,AIR MAX 90,249,4681200
7-Jul-13,AIR MAX COMMAND,50,1500048
7-Jul-13,AIR MAX MOTION,4,0
7-Jul-13,AIR MAX THEA,48,601076
7-Jul-13,BLAZER,323,8101500
7-Jul-13,CORTEZ,145,1868196
7-Jul-13,FREE RUN,690,20046118
7-Jul-13,HUARACHE,6,186168
7-Jul-13,JANOSKI,96,1741560
7-Jul-13,PEGASUS,335,5032816
7-Jul-13,PEGASUS NSW,102,2203120
7-Jul-13,PRIMO COURT,10,59428
7-Jul-13,ROSHE,231,4398868
7-Jul-13,SON OF FORCE,52,0
7-Jul-13,TENNIS CLASSIC,44,473000
6-Jul-14,AIR FORCE 1,622,13675440
6-Jul-14,AIR MAX 1,398,4992108
6-Jul-14,AIR MAX 90,712,11148636
6-Jul-14,AIR MAX COMMAND,28,1828384
6-Jul-14,AIR MAX MOTION,16,191424
6-Jul-14,AIR MAX THEA,50,2335392
6-Jul-14,BLAZER,361,2896512
6-Jul-14,CORTEZ,102,2259060
6-Jul-14,FREE RUN,780,21381508.01
6-Jul-14,HUARACHE,50,2179840
6-Jul-14,INTERNATIONALIST,104,2701220
6-Jul-14,JANOSKI,273,3609924
6-Jul-14,KAISHI,16,2165064
6-Jul-14,MD RUNNER,24,964628
